hour_ahead,predicted_close
1,2669.1358559785945
2,2681.5750817794974
3,2685.5854369485437
4,2685.701683307828
5,2686.4539674393727
6,2688.437943764821
7,2690.3751907845513
8,2691.629959178808
9,2692.3663784226096
10,2692.861939825215
11,2693.2161595006514
12,2693.4399986440867
13,2693.5571103608836
14,2693.6110509792115
15,2693.634127179566
16,2693.64220384969
17,2693.64220384969
18,2693.638165514628
19,2693.6323964645394
20,2693.6277812244684
21,2693.6240313419107
22,2693.6211468168667
23,2693.6191276493355
24,2693.617396934309
